211;HIEMENZ Ulrich
212;KLATZMANN Joseph
213;BACKSTRAND Göran
214;MONEO Jesus
215;FRIEBE Klaus
216;GÉRARDIN Lucien
217;HUBER Roland
218;ZEGVELD Walter
219;COURCIER Michel
220;PECCEI Aurelio
221;PAÏTRA Jacques
222;TROGNON Alain
223;'L''HARDY Philippe'
224;DUBOIS Paul
225;SACHS Ignacy
226;VINAVER Krystina
227;KENTON John
228;SANGUINETTI Alexandre
229;HOFFMAN Stanley
230;REISKY DE DUBNIC Vladimir
231;WILES Peter
232;HELLER Michel
233;KRIEGEL Annie
234;KENDE Pierre
235;LEY Hian
236;TOULEMON Robert
237;COUZY Alain
238;ELMANDJRA Mahdi
239;ALBERT Michel
240;DANZIN André
241;GIROUD Françoise
242;ATTALI Jacques
243;ROHDE Éric
244;GRIVET Pierre
245;GLOWINSKI Albert
246;ZEMAN Zavis
247;MISSIKA Jean-Louis
248;FRIEDRICHS Günter
249;BOISARD Pierre
250;RANCHON Patrick
251;ROTHWELL Roy
252;TÉBÉKA Jacques
253;U.S. DEPARTMENT OF STATE. COUNCIL ON ENVIRONMENTAL QUALITY
254;BATLLE Annie
255;BUREAU DU PREMIER MINISTRE JAPONAIS
256;CATHELAT Bernard
257;SANDI Ana Maria
258;PEYROT Jean
259;FAST-CCE
260;MALITZA Mircea
261;CURIEN Hubert
262;BRACHET Gérard
263;CHABREUIL Aline
264;LENNERTZ Dieter
265;LAGARDE Jean-Bernard
266;BRENDLE Patrice
267;BOUILLOT Jean-Claude
268;BIGNIER Michel
269;COHENDET Patrick
270;LARUE de TOURNEMINE Régis
271;DESSEIGNE Gérard
272;DEMERLIAC Yves
273;JURDANT Baudouin
274;REUTER Helga
275;LOGSDON John M.
276;DUPAS Alain
277;LEBEAU André
278;REUTER Karl-Egon
279;ARETS Jean
280;PASSET René
281;AUJAC Henri
282;CHAMOUX Jean-Pierre
283;MAESTRE Claude J.
284;COCHEMÉ Bernard
285;EME Bernard
286;LAPLUME Yves
287;AMSELLE Jean-Loup
288;GROSFELD Irena
289;SMOLAR Aleksander
290;LE QUÉMENT Joël
291;VIIIe Plan
292;FILLION Alain
293;MAAREK Gérard
294;CHASSÉRIAUX Jean-Michel
295;Mc INNES Geneviève
296;HAËNTJENS Jean
297;BOROT Damien
298;Rabier Jacques-René
299;EUROFORUM
300;BABEAU André
301;LEBART Ludovic
302;PERGLER Peter
303;MOLTKE Konrad von
304;TRINK Claude-Emmanuel
305;SIREYJOL François
306;MEISSNER Werner
307;FAUDRY-BRENAC Édith
308;VESSERON Philippe
309;LEJEUNE Raymond
310;ALEXANDRE Ariel
311;BARRÉ Rémi
312;BORDET Jean-Pierre
313;LAMBERT Jacques
314;TRINITY COLLEGE
315;CONNORD-LAJAMBE Hélène
316;CLAVERIE Maurice
317;BUSINESS WEEK
318;HAUTEFEUILLE Annie
319;REHN Gösta
320;ROBERT Michel
321;TOURAINE Alain
322;ROSANVALLON Pierre
323;LEMATTRE Patrick
324;PASSARIS Solange
325;COLIN Jean-François
326;TERIET Bernhard
327;AZNAR Guy
328;DROUET Dominique
329;DURAND Colette
330;MATHIEU Hervé
331;LEROY Claude
332;LETOURNEUR Dominique
333;DELPLANQUE Bernard
334;LAFERRERE Sylvie
335;MERLEAU PONTY Claire
336;TARDY Anne
337;BENOUN Marc
338;SÉNICOURT Patrick
339;BATTINI Pierre
340;MAIER Hans E.
341;ZUSCOVITCH Ehud
342;FREY Bruno S.
343;POMMEREHNE Werner W.
344;CHADEAU Ann
345;FOUQUET Annie
346;CLAEYS BOUUAERT Ignace
347;ALBOUY Marc
348;ROSNAY (de) Joël
349;MACLOUF Pierre
350;DAVID Jacques E.
351;GORZ André
352;STEVENS Jean-François
353;PFEIFFER Lucien
354;ZÉMOR Pierre
355;DER THIAM Iba
356;ROBIN Jacques
357;ROQUEPLO Philippe
358;HORS Michel
359;LELU Alain
360;MARCHAND Marie
361;RICHARDSON John M.
362;MENDRAS Marie
363;BERTRAND René
364;BRETON Jean-Louis
365;DEBBASCH Charles
366;VIRIEUX Jean-Marc
367;VULPIAN Alain (de)
368;DUPUY François
369;VIÉ Jean-Émile
370;VUITTON Philippe
371;SAVY Michel
372;POMMIER Paulette
373;CHARREYRON Laurent
374;VINCENT Daniel H.
375;WORMS Jean-Pierre
376;PHLIPPONNEAU Michel
377;QUÉRÉ Louis
378;MARTEL Philippe
379;LE GALL Gérard
380;DAVIDSON Franck P.
381;BECHMANN Roland
382;RAGON Michel
383;RAND CORPORATION
384;ZLOTOWSKI Fidel
385;DONNEAUD Jacques
386;PURCHA Mieczyslaw
387;PANERO Robert
388;VERDET Anne
389;SCHWAB Laurent
390;INGLEHART Ronald
391;BRUCKMANN Gerhart
392;BECK Paul W.
393;GESLIN SMALL Michèle
394;BANDT Charles de
395;BERTHELOT Yves
396;BOHY Marcel
397;COLOMBO Umberto
398;GUÉDON Jean-Claude
399;DUNCAN William
400;HÉRAUD Jean-Alain
401;LEDOUX Marc-Jacques
402;TROFIMOFF Constantin
403;TEELING-SMITH Georges
404;SPITZ Pierre
405;ROCARD Michel
406;BODIGUEL Maryvonne
