171;VARINE Hugues de;122;151
172;BELLEVILLE Pierre;123;152
173;BARBIER-BOUVET Jean-François;124;153
174;TIMBART Odile;125;154
175;GIRARD Augustin;126;155
176;FABRIZIO Claude;127;156
177;NULL;14;NULL
178;NULL;14;NULL
179;MOLLARD Claude;128;159
180;CARDONA Janine;129;160
181;POQUET Guy;39;161
182;NULL;14;NULL
183;CATY Gilbert-François;130;163
184;FALQUE Max;131;164
185;CORNIERE Paul;132;165
186;CARRÉ Olivier;133;166
187;COUSIN Jacques;134;167
188;MACISAAC Jean;135;167
189;ASSOCIATION DES AGES;136;168
190;NULL;14;NULL
191;POULLIER Jean-Pierre;137;170
192;NULL;14;NULL
193;BARRAL Paul-Étienne;138;172
194;RUSTANT Maurice;28;173
195;STOFFAËS Christian;139;174
196;MATOUK Jean;140;175
197;NULL;14;NULL
198;NULL;14;NULL
199;MASSON Jean-Claude;141;178
200;GODET Michel;142;179
201;RUYSSEN Olivier;143;179
202;GUILLEMIN Claude;23;180
203;TÉNIERE-BUCHOT Pierre-Frédéric;37;181
204;NULL;14;NULL
205;NULL;14;NULL
206;NULL;14;NULL
207;NULL;14;NULL
208;ASSOCIATION DES AGES;136;186
209;PARANT Alain;144;187
210;NULL;14;NULL
211;BESSE Dominique;145;189
212;SAINT-GEOURS Frédéric;146;190
213;NULL;14;NULL
214;NULL;14;NULL
215;NULL;14;NULL
216;NULL;14;NULL
217;PUISEUX Louis;147;195
218;HOURCADE Jean-Charles;26;196
219;KOUSNETZOFF Nina;148;196
220;DARTOIS Laurent;149;196
221;HOURCADE Jean-Charles;26;197
222;GRENON Michel;150;198
223;LENOIR Jacques;151;199
224;STREIFF C.;152;200
225;COLLI Jean-Claude;153;201
226;GODET Michel;142;202
227;MERCIER Jean-Roger;118;203
228;NULL;14;NULL
229;NULL;14;NULL
230;SAKAMOTO Masahiro;154;206
231;VERMONT René;155;207
232;LESOURNE Jacques;156;208
233;NULL;14;NULL
234;MÉDRINAL Carole;157;210
235;WISSA WASSEF Céres;158;211
236;GAUDIN Thierry;159;212
237;NULL;14;NULL
238;NULL;14;NULL
239;NULL;14;NULL
240;NULL;14;NULL
241;JOUVENEL Bertrand (de);1;217
242;GIARINI Orio;85;218
243;GUILLAUME Marc;160;219
244;NULL;14;NULL
245;HUBER Joseph;161;221
246;FUTURIBLES INTERNATIONAL;45;222
247;BOISOT Marcel;162;223
248;NULL;14;NULL
249;NULL;14;NULL
250;NULL;14;NULL
251;Mc HALE Magda;163;227
252;FNEPE;164;228
253;PITROU Agnès;165;229
254;BARBIERI MASINI Eleonora;44;230
255;DESROCHES Paulin;166;231
256;CHOMBART DE LAUWE Marie-Josée;167;232
257;CORNIERE Paul;132;233
258;WASSERMAN Francis;168;234
259;PARANT Alain;144;235
260;NULL;14;NULL
261;NULL;14;NULL
262;LESOURNE Jacques;156;238
263;LESOURNE Jacques;156;239
264;MALKIN Daniel;169;239
265;STOLÉRU Lionel;170;240
266;KLATZMANN Rosine;171;241
267;WEMEGAH Monica;172;242
268;Barde Jean-Philippe;173;243
269;POTIER Michel;174;243
270;CHARREYRON PERCHET Anne;175;244
271;NULL;14;NULL
272;BEULLAC Christian;176;246
273;BOTKIN James;177;247
274;SEINGES Henri-Paul;178;248
275;VONECHE Jacques;179;249
276;JOUVENEL Hugues (de);180;250
277;CLAUSTRE Vincent;181;251
278;LESOURNE Jacques;156;252
279;MALKIN Daniel;169;252
280;SEINGES Henri-Paul;178;253
281;KRESSMANN Edouard;182;254
282;NULL;14;NULL
283;JOUVENEL Hugues (de);180;256
284;NULL;14;NULL
285;LAGADEC Patrick;63;258
286;HENRY Claude;183;259
287;PUISEUX Louis;147;260
288;LAGADEC Patrick;63;261
289;RÉMOND-GOUILLOUD Martine;184;262
290;CRISP Rodney;185;263
291;LEPAGE JESSUA Corinne;186;264
292;GÉRONDEAU Christian;187;265
293;NOWICKI Nicole;188;266
294;BELHOSTE Jean-François;189;267
295;FAGNANI Francis;190;267
296;STOURDZÉ Yves;191;268
297;NULL;14;NULL
298;JOUVENEL Hugues (de);180;270
299;FONTELA Emilio;7;271
300;TARDY Gérard;192;272
301;PLASSARD Jacques;193;273
302;CGP (Commissariat général du Plan);194;274
303;INSEE (Institut national de la statistique et des études économiques);195;274
304;HAUCHECORNE Jean;196;275
305;WASSERMAN Francis;168;276
306;GODET Michel;142;277
307;KRESSMANN Edouard;182;278
308;LEGRAND Jean;197;279
309;PARANT Alain;144;280
310;CHARREYRON PERCHET Anne;175;281
311;NULL;14;NULL
312;HENDERSON Carter;198;283
313;POQUET Guy;39;284
314;CHARTIER Philippe;199;285
315;GAC André;200;286
316;FOUQUE Bertrand;201;287
317;SOUCHON Christian;202;287
318;MARCHETTI Cesare;203;288
319;COMMISSION DES COMMUNAUTÉS EUROPÉENNES;204;289
320;RONDEST Janine;205;290
321;NULL;14;NULL
322;NULL;14;NULL
323;LESOURNE Jacques;156;293
324;PETRELLA Riccardo;206;294
325;COLE Sam;106;295
326;PARANT Alain;144;296
327;SULLEROT Évelyne;207;296
328;KING Alexander;208;297
329;PAVITT Keith;209;297
330;TAVITIAN Robert;210;298
331;GUERNIER Maurice;66;299
332;HIEMENZ Ulrich;211;299
333;GUILLEMIN Claude;23;300
334;CLERC François;94;301
335;KLATZMANN Joseph;212;301
336;BACKSTRAND Göran;213;302
337;MILES Ian;107;302
338;MONEO Jesus;214;302
339;FRIEBE Klaus;215;303
340;GÉRARDIN Lucien;216;303
341;HUBER Roland;217;303
342;ZEGVELD Walter;218;303
343;GODET Michel;142;304
344;TARDY Gérard;192;304
345;COURCIER Michel;219;305
346;FONTELA Emilio;7;305
347;LESOURNE Jacques;156;305
348;PECCEI Aurelio;220;306
349;GODET Michel;142;307
350;RUYSSEN Olivier;143;307
351;NULL;14;NULL
352;NULL;14;NULL
353;PAÏTRA Jacques;221;310
354;POQUET Guy;39;311
355;TROGNON Alain;222;312
356;'L''HARDY Philippe';223;312
357;DUBOIS Paul;224;313
358;DUPUY Jean-Pierre;15;313
359;SACHS Ignacy;225;313
360;SCHIRAY Michel;27;313
361;VINAVER Krystina;226;313
362;WASSERMAN Francis;168;313
363;KENTON John;227;314
364;NULL;14;NULL
365;NULL;14;NULL
366;SANGUINETTI Alexandre;228;317
367;VIEILLARD Jean-Michel;98;318
368;VIEILLARD Jean-Michel;98;319
369;RUYSSEN Olivier;143;320
370;HOFFMAN Stanley;229;321
371;REISKY DE DUBNIC Vladimir;230;322
372;WILES Peter;231;323
373;HELLER Michel;232;324
374;KRIEGEL Annie;233;324
375;POQUET Guy;39;324
376;NULL;14;NULL
377;NULL;14;NULL
378;KENDE Pierre;234;327
379;LEY Hian;235;328
380;NULL;14;NULL
381;POQUET Guy;39;330
382;TOULEMON Robert;236;331
383;COUZY Alain;237;332
384;ELMANDJRA Mahdi;238;333
385;NULL;14;NULL
386;NULL;14;NULL
387;ALBERT Michel;239;336
